trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.34920000000000007,-0.702,-0.5216]","[0.3568,-0.20799999999999996,-0.9844]",-27,73,1,0,0,response7disk,1,5,1,0,0,rectangle,1,5,1,0,0,,3,3,1E-04,0,1,5,1,0,0,,0,70,70,120,1,39,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.3665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3881999999999999,-0.23939999999999995,-0.05040000000000011]","[-0.2942,-0.24719999999999998,-0.357]",-32,73,1,0,0,response7disk,-12,10,1,0,0,rectangle,-12,10,1,0,0,,3,2,0.0007,0,-12,10,1,0,0,,0,71,71,43,1,43,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.011800000000000033,-0.906,-0.45100000000000007]","[-0.10599999999999998,-0.10599999999999998,0.5841999999999998]",-35,70,1,0,0,response7disk,-14,1,1,0,0,rectangle,-14,1,1,0,0,,3,2,0.0003,0,-14,1,1,0,0,,0,72,72,19,1,19,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,3,0.9174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9842,0.7409999999999999,-0.6628000000000001]","[0.9763999999999999,0.8588,-0.05900000000000005]",108,44,1,0,0,response1disk,0,6,1,0,0,rectangle,0,6,1,0,0,,3,1,0.0009,0,0,6,1,0,0,,0,73,73,9,1,9,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.4835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9296,-0.12959999999999994,-0.043199999999999905]","[0.9686000000000001,0.3802000000000001,0.19999999999999996]",-31,69,1,0,0,response7disk,-12,4,1,0,0,rectangle,-12,4,1,0,0,,3,2,0.0005,0,-12,4,1,0,0,,0,74,74,50,1,50,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.6503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.12939999999999996,-0.2864,0.3253999999999999]","[0.5528,0.7409999999999999,-0.71]",-49,85,1,0,0,response7disk,-7,-8,1,0,0,rectangle,63,-83,1,0,0,response3disk_3,1,1,1.3343,1,4,-6,1,0,0,rectangle,0,75,75,36,1,36,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.37240000000000006,0.4980000000000002,-0.2864]","[0.23120000000000007,-0.7726,-0.34120000000000006]",-48,82,1,0,0,response7disk,-23,2,1,0,0,rectangle,-23,2,1,0,0,,1,2,0.0012,0,-23,2,1,0,0,,0,76,76,14,1,14,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8118,-0.8198,-0.5452]","[0.0351999999999999,0.41159999999999997,0.0038000000000000256]",-43,66,1,0,0,response7disk,-27,2,1,0,0,rectangle,-27,2,1,0,0,,1,2,1E-04,0,-27,2,1,0,0,,0,77,77,128,1,47,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.37240000000000006,0.4980000000000002,-0.2864]","[-0.01980000000000004,-0.5138,-0.38039999999999996]",-40,74,1,0,0,response7disk,-26,-3,1,0,0,rectangle,-26,-3,1,0,0,,1,1,0.001,0,-26,-3,1,0,0,,0,78,78,148,1,67,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.3838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7018,0.7802,-0.16079999999999994]","[-0.8198,-0.5138,-0.7492000000000001]",-32,49,1,0,0,response7disk,-27,3,1,0,0,rectangle,-27,3,1,0,0,,1,3,0.0009,0,-27,3,1,0,0,,0,79,79,134,1,53,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9842,0.7409999999999999,-0.6628000000000001]","[0.7176,-0.906,-0.6864]",-32,66,1,0,0,response7disk,-8,-4,1,0,0,rectangle,-8,-4,1,0,0,,1,1,0.001,0,-8,-4,1,0,0,,0,80,80,111,1,30,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.24719999999999998,-0.0354000000000001,0.3175999999999999]","[0.2784,-0.31000000000000005,-0.5452]",-30,62,1,0,0,response7disk,-10,-12,1,0,0,rectangle,-10,-12,1,0,0,,1,1,1E-04,0,-10,-12,1,0,0,,0,81,81,10,1,10,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.26280000000000003,-0.2158,-0.3256]","[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]",-38,70,1,0,0,response7disk,-17,3,1,0,0,rectangle,-17,3,1,0,0,,1,2,0.0006,0,-17,3,1,0,0,,0,82,82,7,1,7,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourtwo,,1,0.5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.17659999999999998,0.3253999999999999,0.19999999999999996]","[0.7018,0.7176,0.6155999999999999]",24,-103,1,0,0,response3disk,-6,-5,1,0,0,rectangle,-6,-5,1,0,0,,1,1,0.0009,0,-6,-5,1,0,0,,0,83,83,78,1,78,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.34099999999999997,0.12939999999999996,-0.9766]","[-0.6942,-0.7648,-0.12959999999999994]",-47,69,1,0,0,response7disk,-22,13,1,0,0,rectangle,-22,13,1,0,0,,1,1,0,0,-22,13,1,0,0,,0,84,84,139,1,58,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.796,0.2156,-0.27859999999999996]","[0.34099999999999997,0.5841999999999998,-0.9844]",-23,61,1,0,0,response7disk,-25,3,1,0,0,rectangle,-25,3,1,0,0,,1,2,0.001,0,-25,3,1,0,0,,0,85,85,87,1,6,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.4337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.30180000000000007,-0.7884,-0.9844]","[0.19199999999999995,0.18419999999999992,0.5136000000000001]",-24,61,1,0,0,response7disk,-13,3,1,0,0,rectangle,-13,3,1,0,0,,1,2,0,0,-13,3,1,0,0,,0,86,86,54,1,54,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.11359999999999992,0.6312,0.5213999999999999]","[-0.6942,-0.7648,-0.12959999999999994]",-26,67,1,0,0,response7disk,-3,-15,1,0,0,rectangle,-3,-15,1,0,0,,1,3,0.0012,0,-3,-15,1,0,0,,0,87,87,83,1,2,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,1.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6942,-0.7648,-0.12959999999999994]","[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]",-36,79,1,0,0,response7disk,-10,1,1,0,0,rectangle,-10,1,1,0,0,,1,2,0.001,0,-10,1,1,0,0,,0,88,88,16,1,16,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.20799999999999996,-0.655,-0.01980000000000004]","[-0.5688,-0.08239999999999992,-0.1844]",-57,100,1,0,0,response7disk,-15,-4,1,0,0,rectangle,-15,-4,1,0,0,,1,2,1E-04,0,-15,-4,1,0,0,,0,89,89,18,1,18,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7802,-0.23140000000000005,-0.20799999999999996]","[0.9372,0.9450000000000001,0.8980000000000001]",-26,75,1,0,0,response7disk,-10,-12,1,0,0,rectangle,-10,-12,1,0,0,,1,1,0.0005,0,-10,-12,1,0,0,,0,90,90,74,1,74,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twofour,,1,0.6174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2862,0.7802,0.3568]","[0.5528,0.7409999999999999,-0.71]",49,-91,1,0,0,response3disk,-1,3,1,0,0,rectangle,-1,3,1,0,0,,1,2,0.001,0,-1,3,1,0,0,,0,91,91,102,1,21,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6,0.16860000000000008,0.44300000000000006]","[0.40379999999999994,0.09000000000000008,0.44300000000000006]",-37,84,1,0,0,response7disk,-11,4,1,0,0,rectangle,61,-96,1,0,0,response3disk_3,1,1,1.3022,1,-5,3,1,0,0,rectangle,0,92,92,76,1,76,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,1,0.4671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4902000000000001,0.2704,-0.45899999999999996]","[0.04299999999999993,0.16060000000000008,-0.6628000000000001]",54,-83,1,0,0,response3disk,1,-4,1,0,0,rectangle,1,-4,1,0,0,,1,1,0.0002,0,1,-4,1,0,0,,0,93,93,112,1,31,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.5834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.26280000000000003,-0.2158,-0.3256]","[-0.9688,-0.7412000000000001,-0.4902000000000001]",-51,78,1,0,0,response7disk,-19,16,1,0,0,rectangle,-19,16,1,0,0,,1,3,0.0006,0,-19,16,1,0,0,,0,94,94,0,1,0,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2784,-0.31000000000000005,-0.5452]","[-0.24719999999999998,-0.0354000000000001,0.3175999999999999]",-30,70,1,0,0,response7disk,-13,5,1,0,0,rectangle,-13,5,1,0,0,,1,1,0.001,0,-13,5,1,0,0,,0,95,95,91,1,10,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8198,-0.5138,-0.7492000000000001]","[0.7018,0.7802,-0.16079999999999994]",-42,84,1,0,0,response7disk,-19,14,1,0,0,rectangle,-19,14,1,0,0,,1,1,1E-04,0,-19,14,1,0,0,,0,96,96,53,1,53,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.3506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.17659999999999998,-0.2864,-0.8354]","[0.7176,-0.906,-0.6864]",-35,63,1,0,0,response7disk,-18,11,1,0,0,rectangle,-18,11,1,0,0,,1,3,0.001,0,-18,11,1,0,0,,0,97,97,79,1,79,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6706000000000001,-0.6157999999999999,-0.6786]","[-0.30200000000000005,0.14500000000000002,0.2784]",-29,50,1,0,0,response7disk,-18,13,1,0,0,rectangle,-18,13,1,0,0,,1,2,0.001,0,-18,13,1,0,0,,0,98,98,69,1,69,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.3802000000000001,0.19999999999999996]","[-0.10599999999999998,-0.10599999999999998,0.5841999999999998]",-36,68,1,0,0,response7disk,-17,8,1,0,0,rectangle,-17,8,1,0,0,,1,1,0.0011,0,-17,8,1,0,0,,0,99,99,142,1,61,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twofour,,1,0.7505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9766,-0.6472,0.07440000000000002]","[-0.8118,-0.8198,-0.5452]",47,-72,1,0,0,response3disk,3,-4,1,0,0,rectangle,3,-4,1,0,0,,1,2,0.001,0,3,-4,1,0,0,,0,100,100,60,1,60,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.4505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.011800000000000033,-0.906,-0.45100000000000007]","[0.9213999999999998,0.6391999999999998,-0.9922]",-37,62,1,0,0,response7disk,-6,-9,1,0,0,rectangle,-6,-9,1,0,0,,1,3,0.0005,0,-6,-9,1,0,0,,0,101,101,82,1,1,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61541943a163573208338fd8,62bbf9706f52e7cb967379fe,2022-06-29_09h04.25.748,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.91611744,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.23920000000000008,0.2704,0.16060000000000008]","[-0.4982,-0.2942,-0.0354000000000001]",-39,63,1,0,0,response7disk,-17,3,1,0,0,rectangle,-17,3,1,0,0,,1,1,0.0011,0,-17,3,1,0,0,,0,102,102,103,1,22,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
